symbol,symbolbitmex,altstatus,fullname,symbolshort,enabled,against,withspeed,against2,with2,uppernormal,lowernormal,meanrevenabled,decimalfigs,url,urlshort
.BADAXBT,ADAU19,1,Cardano,ADA,1,36,18,36,36,8,2,0,8,https://www.tradingview.com/chart/HSxuns6m/?symbol=BINANCE:ADABTC,http://bit.ly/2sdynId
.BBCHXBT,BCHU19,1,Bitcoin Cash,BCH,1,36,18,36,36,8,2,0,4,https://www.tradingview.com/chart/HSxuns6m/?symbol=COINBASE:BCHBTC,http://bit.ly/2C27KKV
.BEOSXBT,EOSU19,1,EOS,EOS,1,36,18,36,36,8,2,0,7,https://www.tradingview.com/chart/HSxuns6m/?symbol=BINANCE:EOSBTC,http://bit.ly/2RucjHN
.BETHXBT,ETHUSD,1,Ethereum,ETH,1,36,18,36,36,8,2,0,5,https://www.tradingview.com/chart/HSxuns6m/?symbol=BINANCE:ETHBTC,http://bit.ly/2s8qa8m
.BLTCXBT,LTCU19,1,Litecoin,LTC,1,36,18,36,36,8,2,0,5,https://www.tradingview.com/chart/HSxuns6m/?symbol=BINANCE:LTCBTC,http://bit.ly/2sb8IQv
.BXRPXBT,XRPU19,1,Ripple,XRP,1,36,18,36,36,8,2,0,8,https://www.tradingview.com/chart/HSxuns6m/?symbol=BINANCE:XRPBTC,http://bit.ly/2LUF1Mx
.BTRXXBT,TRXU19,1,Tron,TRX,1,36,18,36,36,8,2,0,8,https://www.tradingview.com/chart/HSxuns6m/?symbol=BINANCE:TRXBTC,http://bit.ly/2Qs4QnU
XBTUSD,XBTUSD,0,Bitcoin,XBT,1,25,17,36,26,4,1,0,0,https://www.tradingview.com/chart/HSxuns6m/?symbol=BITMEX:XBTUSD,http://bit.ly/2scaC3d
XBTZ19,XBTZ19,0,Bitcoin Dec19,XBTZ,0,25,17,36,26,4,1,0,0,,
XBTH20,XBTH20,0,Bitcoin Mar20,XBTH,0,25,17,36,26,4,1,0,0,"",""